상호,기자재명칭,모델명,제조국가,인증연월일,인증상태,인증번호,,,,,
Moonstone Technology (Shaoxing) Co.,Base Station,RCZE0301,중국,2025-02-14,등록,R-R-m5w-RCZE0301,,,,,
Moonstone Technology(Shaoxing)Co.,Robotic Vacuum Cleaner,RLZ92CE,중국,2025-02-14,등록,R-R-m5t-RLZ92CE,,,,,
Hangzhou Ezviz Software Co.,Power Partner (Power Bank),CS-PB18,중국,2025-02-14,등록,R-R-Ez6-CS-PB18,,,,,
BIWIN STORAGE TECHNOLOGY CO.,CFexpress 4.0 Type B Card,CB450 512GB,중국,2025-02-14,등록,R-R-BWn-CB450,,,,,
Jingheng Tengwei (Huizhou) Electronic Technology Co.,Mechanical Keyboard,RK-M75,중국,2025-02-14,등록,R-R-JTE8-RK-M75,,,,,
Hangzhou HIKVISION Digital Tech. Co.,Network Cabinet Speaker,DS-QAZ1110G1R-BE/KR,중국,2025-02-14,등록,R-R-HV2-QAZ1110G1RBEKR,,,,,
Jingheng Tengwei (Huizhou) Electronic Technology Co.,USB Receiver,USB Receiver,중국,2025-02-14,등록,R-R-JTE8-USBReceiver,,,,,
Jingheng Tengwei (Huizhou) Electronic Technology Co.,Mechanical Keyboard,RK-S98,중국,2025-02-14,등록,R-R-JTE8-RK-S98,,,,,
Zhejiang Tri mix Technology Co.,Controller Box,S2,중국,2025-02-14,등록,R-R-ZTM-S2,,,,,
TPV Electronics (Fujian) Co.,LCD Monitor,A25238FL0,중국,2025-02-14,등록,R-R-TPF-A25238FL0,,,,,
ADVANCED MICRO DEVICES,VIDEO CARD,G29502,대만,2025-02-14,등록,R-R-AvM-102-G29502,,,,,
주식회사 다름인터내셔널(Dareum International Co.,특정 소출력 무선기기,DRGO-BH08CK,중국,2025-02-14,등록,R-R-DRu-DRGO-BH08CK,,,,,
TPV Electronics (Fujian) Co.,LCD Monitor,A25238FS0,중국,2025-02-14,등록,R-R-TPF-A25238FS0,,,,,
Harman Professional,Stage Luminaire,ERA 700 Performance IP,중국,2025-02-14,등록,R-R-H25-ERA700,,,,,
CISCO SYSTEMS,Cisco Room Vision PTZ,TTC8-13,대만,2025-02-14,등록,R-R-TNY-TTC8-13,,,,,
Lianjiang HY-ETECH Co.,Fast Charger,HY-014-20WA1C1,중국,2025-02-14,등록,R-R-LHe-HY-014-20WA1C1,,,,,
주식회사 잘(JAL CO.,슬림존,VNM-618,중국,2025-02-14,등록,R-R-JAl-VNM-618,,,,,
Hangzhou HIKVISION Digital Tech. Co.,Network Horn Speaker,DS-QAZ1307G1-E C,중국,2025-02-14,등록,R-R-HV2-QAZ1307G1EC,,,,,
Shenzhen KTC Commercial Display Technology CO.,LCD MONITOR,PN-P656,중국,2025-02-14,등록,R-R-Kt7-PN-P656,,,,,
SHENZHEN DONGYUAN ELECTRONICS CO.,BYD Microphone,BYD-UF,중국,2025-02-14,등록,R-R-EDY-BYD-UF,,,,,
shenzhen jiasibei electronics co.,하이메이드 LED 스탠드,HM-LV1570W,중국,2025-02-14,등록,R-R-Je3-HM-LV1570W,,,,,
Kangsung Electroincs Co.,7인치 AHD 룸밀러모니터,KS-RM7,중국,2025-02-14,등록,R-R-Ks8-KS-RM7,,,,,
Kangsung Electroincs Co.,AHD 후방카메라,KS-AHDR10,중국,2025-02-14,등록,R-R-Ks8-KS-AHDR10,,,,,
NANTONG NEO ELECTRONIC TECHNOLOGY CO.,Galaxy Tab S10+ Pogopin Keyboard Cover,NNKBCPPX108WW,중국,2025-02-14,등록,R-R-nnE-NNKBCPPX108WW,,,,,
Murata Manufacturing Co.,특정소출력 무선기기(무선데이터 통신시스템용 무선기기),Type2HV,중국,2025-02-14,등록,R-R-VPY-Type2HV,,,,,
ZEROPLUS TECHNOLOGY CO.,Cat CPU Plus,ZPP006R,대만,2025-02-14,등록,R-R-ZP0-ZPP006R,,,,,
Shenzhen Jinmeiyi Technology Co.,Fast wireless car charger,WT-Q16,중국,2025-02-14,등록,R-R-Jinm-WT-Q16,,,,,
Ningbo Haishu Tianxiang Electronic Commerce Co.,자동청소도구,OB16,중국,2025-02-14,등록,R-R-TIX-OB16,,,,,
