날짜, 구분, 기자재명칭, 모델명, 상호, 제조국가
20250217, 적합등록, LED센서등기구, SWLD-2200CRF_5710, (사)장애인인권센터ICT사업단, 한국
20250217, 적합등록, LED실내조명, DLP-B001, 바우, 중국
20250217, 적합등록, MAIN CONTROLLER, MLD-MC01-ML, 주식회사 명성이앤티, 한국
20250217, 적합등록, soldering station, ST-80, Shenzhen Atten Technology Co. Ltd, 중국
20250217, 적합등록, LED센서등기구, HYS-C-1_5710, (주)세전사, 한국
20250217, 적합등록, 노트북 컴퓨터, TP00160A, (주)인텔코리아, 중국
20250217, 적합등록, LED센서등기구, SWLD-2200C(S)RF_5720, 사회적협동조합푸른하늘, 한국
20250217, 적합등록, 등기구(LED센서 등기구), SWLD-0417(S)RF_5710, 행복나눔, 한국
20250217, 적합등록, DC GLUE GUN, SDG-18100 DE, 화성종합상사, 한국
20250217, 적합등록, LED센서등기구, HYS-C-1_5710, 행복나눔, 한국
20250217, 적합등록, 스마트LED등기구, SC-SMART-045-65(LR), (주)에스씨엘, 한국
20250217, 적합등록, NVR(Network Video Record), EdgeVR500 Series, Verint Americas Inc., 대만
20250217, 적합등록, 냉방기, FDP26-3030ZV4, 주식회사 에스엠케이, 중국
20250217, 적합등록, 투광등기구, CGS10057D55, 주식회사 청정에너지솔루션, 한국
20250217, 적합등록, 소형기기용충전기(직류전원장치), SJCT-CCD24, (주)성주컴텍, 한국
20250217, 적합등록, 후드믹서, BL13, 신일전자주식회사, 중국
20250217, 적합등록, 디지털 도어락, M-5900S, 밀레시스텍(주), 한국
20250217, 적합등록, Pro Video PTZ Controller, PUS-KB100, 에이브이엑스(주), 중국
20250217, 적합등록, 텀블러세척기, magiquaT-01, 지니스㈜, 한국
20250217, 적합등록, 전기냉장냉동기기(전기냉장고), B110DG-2RFOS-E, (주)부성에베레스트, 한국
20250217, 적합등록, 전기찜질기(발열조끼), DR, Shishi Mataying Garment Co. Ltd., 중국
20250217, 적합등록, 소형기기용충전기(직류전원장치), PL-S4D, 주식회사 블루인텍, 한국
20250217, 적합등록, PoE Repeater, TZ-PE250, ㈜ 더존시스템, 한국
