시·도,시·군·구,읍·면·동,구간거리 (km),40FT 컨테이너,20FT 컨테이너
서울특별시,용산구,용산2가동,400,"1,094,800","958,100"
서울특별시,노원구,하계1동,394,"1,084,400","949,700"
서울특별시,강서구,염창동,410,"1,112,500","971,900"
서울특별시,강서구,공항동,413,"1,117,700","975,900"
서울특별시,강서구,방화2동,414,"1,119,500","977,300"
서울특별시,구로구,구로1동,405,"1,103,600","965,000"
서울특별시,구로구,고척1동,405,"1,103,600","965,000"
서울특별시,구로구,수궁동,409,"1,110,700","970,400"
서울특별시,구로구,개봉1동,408,"1,108,900","969,100"
서울특별시,구로구,오류2동,407,"1,107,100","967,800"
서울특별시,금천구,가산동,403,"1,100,100","962,200"
서울특별시,금천구,독산1동,401,"1,096,600","959,400"
서울특별시,강남구,삼성1동,390,"1,077,400","944,100"
서울특별시,강남구,개포1동,382,"1,063,200","933,000"
서울특별시,송파구,송파1동,384,"1,066,800","935,800"
서울특별시,송파구,가락본동,383,"1,065,000","934,500"
부산광역시,서구,남부민1동,28,"222,300","198,900"
부산광역시,서구,암남동,26,"215,800","193,400"
부산광역시,동구,초량1동,31,"233,300","206,800"
부산광역시,동구,좌천동,33,"240,600","212,300"
부산광역시,영도구,남항동,29,"226,000","201,500"
부산광역시,영도구,청학1동,31,"233,300","206,800"
부산광역시,동래구,안락1동,40,"265,700","230,900"
부산광역시,남구,용당동,36,"251,400","220,300"
부산광역시,남구,감만1동,36,"251,400","220,300"
부산광역시,남구,우암동,35,"247,900","217,600"
부산광역시,해운대구,재송1동,42,"272,800","237,000"
부산광역시,해운대구,반여1동,42,"272,800","237,000"
부산광역시,해운대구,반송1동,46,"287,100","249,200"
부산광역시,해운대구,우1동,45,"283,300","246,200"
부산광역시,사하구,신평1동,22,"200,100","178,600"
부산광역시,사하구,장림1동,21,"196,400","174,800"
부산광역시,사하구,다대1동,24,"208,400","186,800"
부산광역시,사하구,구평동,23,"203,800","182,700"
부산광역시,사하구,감천1동,25,"212,700","190,700"
부산광역시,금정구,금사회동동,43,"276,400","240,100"
부산광역시,강서구,대저2동,27,"218,900","196,100"
부산광역시,강서구,강동동,26,"215,800","193,400"
부산광역시,강서구,가락동,20,"192,600","170,700"
부산광역시,강서구,녹산동,15,"173,700","150,700"
부산광역시,강서구,가덕도동,13,"165,900","144,100"
부산광역시,강서구,명지1동,19,"188,800","166,700"
부산광역시,사상구,주례1동,29,"226,000","201,500"
부산광역시,사상구,학장동,28,"222,300","198,900"
부산광역시,사상구,엄궁동,25,"212,700","190,700"
부산광역시,사상구,감전동,28,"222,300","198,900"
부산광역시,기장군,기장읍,55,"316,100","280,100"
부산광역시,기장군,장안읍,63,"338,700","299,700"
부산광역시,기장군,정관읍,57,"321,700","285,100"
부산광역시,기장군,일광면,56,"318,900","282,600"
부산광역시,기장군,철마면,51,"304,500","270,000"
대구광역시,중구,성내1동,113,"471,800","414,700"
대구광역시,중구,성내3동,115,"476,900","419,100"
대구광역시,서구,비산1동,125,"501,900","440,600"
대구광역시,서구,평리1동,126,"504,500","442,700"
대구광역시,서구,상중이동,127,"507,100","444,900"
대구광역시,북구,침산1동,126,"504,500","442,700"
대구광역시,북구,검단동,116,"479,400","421,300"
대구광역시,북구,노원동,126,"504,500","442,700"
대구광역시,수성구,만촌1동,109,"461,500","406,000"
대구광역시,달서구,장기동,128,"509,400","446,900"
대구광역시,달서구,이곡1동,129,"511,800","449,100"
대구광역시,달서구,신당동,132,"519,300","455,400"
