시·도,시·군·구,읍·면·동,구간거리 (km),40FT 컨테이너,20FT 컨테이너
서울특별시,용산구,용산2가동,404,"1,101,900","963,500"
서울특별시,노원구,하계1동,398,"1,091,400","955,200"
서울특별시,강서구,염창동,414,"1,119,500","977,300"
서울특별시,강서구,공항동,422,"1,133,400","988,400"
서울특별시,강서구,방화2동,422,"1,133,400","988,400"
서울특별시,구로구,구로1동,410,"1,112,500","971,900"
서울특별시,구로구,고척1동,411,"1,114,200","973,100"
서울특별시,구로구,수궁동,414,"1,119,500","977,300"
서울특별시,구로구,개봉1동,412,"1,116,000","974,600"
서울특별시,구로구,오류2동,413,"1,117,700","975,900"
서울특별시,금천구,가산동,408,"1,108,900","969,100"
서울특별시,금천구,독산1동,406,"1,105,400","966,300"
서울특별시,강남구,삼성1동,397,"1,089,700","953,900"
서울특별시,강남구,개포1동,389,"1,075,700","942,900"
서울특별시,송파구,송파1동,389,"1,075,700","942,900"
서울특별시,송파구,가락본동,389,"1,075,700","942,900"
부산광역시,서구,남부민1동,12,"162,300","140,600"
부산광역시,서구,암남동,20,"192,600","170,700"
부산광역시,동구,초량1동,11,"158,300","137,200"
부산광역시,동구,좌천동,10,"154,400","134,000"
부산광역시,영도구,남항동,10,"154,400","134,000"
부산광역시,영도구,청학1동,8,"146,700","127,100"
부산광역시,동래구,안락1동,15,"173,700","150,700"
부산광역시,남구,용당동,4,"131,200","113,500"
부산광역시,남구,감만1동,6,"138,800","120,400"
부산광역시,남구,우암동,7,"142,800","123,700"
부산광역시,해운대구,재송1동,13,"165,900","144,100"
부산광역시,해운대구,반여1동,16,"177,500","154,700"
부산광역시,해운대구,반송1동,20,"192,600","170,700"
부산광역시,해운대구,우1동,13,"165,900","144,100"
부산광역시,사하구,신평1동,17,"181,200","158,700"
부산광역시,사하구,장림1동,18,"185,100","162,600"
부산광역시,사하구,다대1동,21,"196,400","174,800"
부산광역시,사하구,구평동,16,"177,500","154,700"
부산광역시,사하구,감천1동,14,"169,900","147,300"
부산광역시,금정구,금사회동동,19,"188,800","166,700"
부산광역시,강서구,대저2동,24,"208,400","186,800"
부산광역시,강서구,강동동,27,"218,900","196,100"
부산광역시,강서구,가락동,31,"233,300","206,800"
부산광역시,강서구,녹산동,30,"229,600","204,300"
부산광역시,강서구,가덕도동,33,"240,600","212,300"
부산광역시,강서구,명지1동,23,"203,800","182,700"
부산광역시,사상구,주례1동,15,"173,700","150,700"
부산광역시,사상구,학장동,18,"185,100","162,600"
부산광역시,사상구,엄궁동,20,"192,600","170,700"
부산광역시,사상구,감전동,17,"181,200","158,700"
부산광역시,기장군,기장읍,25,"212,700","190,700"
부산광역시,기장군,장안읍,34,"244,200","215,000"
부산광역시,기장군,정관읍,32,"236,900","209,600"
부산광역시,기장군,일광면,28,"222,300","198,900"
부산광역시,기장군,철마면,25,"212,700","190,700"
대구광역시,중구,성내1동,116,"479,400","421,300"
대구광역시,중구,성내3동,117,"481,900","423,400"
대구광역시,서구,비산1동,119,"487,000","427,900"
대구광역시,서구,평리1동,120,"489,500","430,000"
대구광역시,서구,상중이동,121,"492,000","432,000"
대구광역시,북구,침산1동,119,"487,000","427,900"
대구광역시,북구,검단동,118,"484,500","425,800"
대구광역시,북구,노원동,121,"492,000","432,000"
대구광역시,수성구,만촌1동,112,"469,200","412,600"
대구광역시,달서구,장기동,122,"494,500","434,200"
대구광역시,달서구,이곡1동,123,"497,000","436,300"
대구광역시,달서구,신당동,126,"504,500","442,700"
대구광역시,달서구,월성1동,123,"497,000","436,300"
대구광역시,달성군,논공읍,132,"519,300","455,400"
대구광역시,달성군,다사읍,133,"521,800","457,400"
대구광역시,달성군,유가읍,123,"497,000","436,300"
대구광역시,달성군,현풍읍,122,"494,500","434,200"
대구광역시,달성군,구지면,122,"494,500","434,200"
인천광역시,중구,신포동,424,"1,137,000","991,100"
인천광역시,중구,신흥동,423,"1,135,300","989,700"
인천광역시,중구,동인천동,425,"1,138,700","992,400"
인천광역시,중구,북성동,426,"1,140,400","993,800"
인천광역시,중구,운서동,437,"1,159,500","1,008,800"
인천광역시,중구,영종동,437,"1,159,500","1,008,800"
인천광역시,남동구,만수1동,413,"1,117,700","975,900"
인천광역시,남동구,남촌도림동,415,"1,121,300","978,800"
인천광역시,남동구,논현1동,414,"1,119,500","977,300"
인천광역시,남동구,논현고잔동,413,"1,117,700","975,900"
인천광역시,남동구,장수서창동,414,"1,119,500","977,300"
인천광역시,부평구,부평1동,419,"1,128,200","984,300"
인천광역시,부평구,산곡2동,421,"1,131,700","986,900"
인천광역시,계양구,효성1동,425,"1,138,700","992,400"
인천광역시,계양구,작전서운동,424,"1,137,000","991,100"
인천광역시,계양구,계양2동,423,"1,135,300","989,700"
인천광역시,계양구,계양1동,427,"1,142,200","995,000"
인천광역시,계양구,계양3동,425,"1,138,700","992,400"
인천광역시,서구,검암경서동,429,"1,145,700","997,800"
인천광역시,서구,연희동,430,"1,147,400","999,100"
인천광역시,서구,석남1동,428,"1,144,000","996,600"
인천광역시,서구,가좌1동,430,"1,147,400","999,100"
인천광역시,서구,신현원창동,428,"1,144,000","996,600"
인천광역시,서구,청라1동,430,"1,147,400","999,100"
인천광역시,서구,불로대곡동,435,"1,156,100","1,006,000"
인천광역시,서구,오류왕길동,440,"1,164,800","1,012,800"
인천광역시,남구,학익1동,418,"1,126,500","982,900"
인천광역시,남구,도화1동,420,"1,129,900","985,600"
인천광역시,남구,주안1동,421,"1,131,700","986,900"
광주광역시,서구,치평동,273,"843,700","754,200"
광주광역시,북구,일곡동,265,"824,300","719,600"
광주광역시,북구,양산동,268,"830,900","724,900"
광주광역시,북구,건국동,266,"826,600","721,300"
광주광역시,북구,신용동,268,"830,900","724,900"
광주광역시,광산구,어룡동,278,"853,500","762,900"
광주광역시,광산구,비아동,272,"841,700","752,400"
광주광역시,광산구,하남동,275,"847,500","757,800"
광주광역시,광산구,임곡동,278,"853,500","762,900"
광주광역시,광산구,평동,283,"863,200","771,700"
광주광역시,광산구,삼도동,286,"869,500","776,700"
광주광역시,광산구,수완동,272,"841,700","752,400"
대전광역시,유성구,신성동,276,"849,500","759,500"
대전광역시,유성구,구즉동,274,"845,600","755,900"
대전광역시,유성구,관평동,272,"841,700","752,400"
대전광역시,대덕구,대화동,267,"828,900","723,100"
대전광역시,대덕구,회덕동,267,"828,900","723,100"
대전광역시,대덕구,덕암동,271,"839,700","750,800"
대전광역시,대덕구,목상동,273,"843,700","754,200"
울산광역시,중구,중앙동,66,"346,900","307,100"
울산광역시,남구,옥동,63,"338,700","299,700"
울산광역시,남구,야음장생포동,62,"335,900","297,400"
울산광역시,남구,선암동,61,"333,000","294,900"
울산광역시,북구,농소1동,74,"369,000","326,300"
울산광역시,북구,농소2동,76,"374,500","331,100"
울산광역시,북구,효문동,69,"355,300","314,400"
울산광역시,울주군,온산읍,53,"310,300","275,100"
울산광역시,울주군,언양읍,62,"335,900","297,400"
울산광역시,울주군,온양읍,47,"290,500","252,400"
울산광역시,울주군,청량읍,57,"321,700","285,100"
울산광역시,울주군,웅촌면,50,"301,100","261,500"
울산광역시,울주군,두동면,76,"374,500","331,100"
울산광역시,울주군,두서면,71,"360,900","319,300"
울산광역시,울주군,상북면,68,"352,500","312,000"
울산광역시,울주군,삼남면,59,"327,300","290,000"
울산광역시,울주군,삼동면,62,"335,900","297,400"
경기도,수원시 장안구,파장동,385,"1,068,500","937,200"
경기도,수원시 권선구,평동,378,"1,056,200","927,500"
경기도,수원시 영통구,매탄1동,380,"1,059,600","930,300"
경기도,성남시 분당구,야탑1동,376,"1,052,600","924,500"
경기도,안양시 만안구,박달1동,394,"1,084,400","949,700"
경기도,안양시 동안구,관양1동,392,"1,080,900","947,000"
경기도,부천시,오정동,424,"1,137,000","991,100"
경기도,평택시,팽성읍,350,"1,006,200","887,700"
경기도,평택시,포승읍,379,"1,057,900","928,700"
경기도,평택시,청북읍,368,"1,038,300","913,400"
경기도,평택시,진위면,356,"1,017,000","896,300"
경기도,평택시,서탄면,366,"1,034,800","910,400"
경기도,평택시,고덕면,362,"1,027,600","904,800"
경기도,평택시,오성면,366,"1,034,800","910,400"
경기도,평택시,중앙동,354,"1,013,400","893,400"
경기도,평택시,송탄동,350,"1,006,200","887,700"
경기도,평택시,지산동,356,"1,017,000","896,300"
경기도,평택시,신평동,346,"998,000","881,100"
경기도,평택시,비전1동,346,"998,000","881,100"
경기도,평택시,세교동,348,"1,002,100","884,400"
경기도,동두천시,불현동,431,"1,149,100","1,000,600"
경기도,동두천시,소요동,434,"1,154,400","1,004,600"
경기도,동두천시,상패동,435,"1,156,100","1,006,000"
경기도,안산시 상록구,본오1동,397,"1,089,700","953,900"
경기도,안산시 단원구,초지동,402,"1,098,400","960,800"
경기도,안산시 단원구,신길동,402,"1,098,400","960,800"
경기도,고양시 덕양구,화정1동,429,"1,145,700","997,800"
경기도,고양시 일산동구,장항1동,430,"1,147,400","999,100"
경기도,남양주시,와부읍,391,"1,079,100","945,500"
경기도,남양주시,진접읍,406,"1,105,400","966,300"
경기도,남양주시,화도읍,404,"1,101,900","963,500"
경기도,남양주시,진건읍,398,"1,091,400","955,200"
경기도,남양주시,오남읍,407,"1,107,100","967,800"
경기도,남양주시,별내면,401,"1,096,600","959,400"
경기도,남양주시,수동면,408,"1,108,900","969,100"
경기도,남양주시,금곡동,396,"1,087,900","952,400"
경기도,남양주시,양정동,394,"1,084,400","949,700"
경기도,남양주시,다산1동,391,"1,079,100","945,500"
경기도,오산시,중앙동,360,"1,024,100","901,800"
경기도,오산시,남촌동,361,"1,025,800","903,500"
경기도,오산시,세마동,368,"1,038,300","913,400"
경기도,오산시,초평동,364,"1,031,300","907,600"
경기도,시흥시,대야동,410,"1,112,500","971,900"
경기도,시흥시,신천동,411,"1,114,200","973,100"
경기도,시흥시,신현동,409,"1,110,700","970,400"
경기도,시흥시,매화동,407,"1,107,100","967,800"
경기도,시흥시,목감동,401,"1,096,600","959,400"
경기도,시흥시,과림동,409,"1,110,700","970,400"
경기도,시흥시,정왕본동,406,"1,105,400","966,300"
경기도,시흥시,군자동,401,"1,096,600","959,400"
경기도,시흥시,연성동,404,"1,101,900","963,500"
경기도,군포시,군포1동,387,"1,072,100","940,000"
경기도,군포시,군포2동,388,"1,073,800","941,300"
경기도,군포시,금정동,389,"1,075,700","942,900"
경기도,의왕시,부곡동,385,"1,068,500","937,200"
경기도,의왕시,오전동,384,"1,066,800","935,800"
경기도,의왕시,청계동,390,"1,077,400","944,100"
경기도,하남시,천현동,379,"1,057,900","928,700"
경기도,하남시,덕풍1동,384,"1,066,800","935,800"
경기도,하남시,춘궁동,381,"1,061,400","931,700"
경기도,하남시,초이동,384,"1,066,800","935,800"
경기도,하남시,풍산동,382,"1,063,200","933,000"
경기도,하남시,감북동,385,"1,068,500","937,200"
경기도,용인시 처인구,모현읍,369,"1,040,100","914,600"
경기도,용인시 처인구,이동읍,364,"1,031,300","907,600"
경기도,용인시 처인구,남사면,368,"1,038,300","913,400"
경기도,용인시 처인구,원삼면,363,"1,029,300","906,100"
경기도,용인시 처인구,백암면,354,"1,013,400","893,400"
경기도,용인시 처인구,양지면,353,"1,011,500","891,900"
경기도,용인시 처인구,중앙동,362,"1,027,600","904,800"
경기도,용인시 처인구,유림동,360,"1,024,100","901,800"
경기도,용인시 기흥구,기흥동,372,"1,045,500","919,000"
경기도,용인시 기흥구,서농동,372,"1,045,500","919,000"
경기도,용인시 기흥구,상하동,377,"1,054,300","926,100"
경기도,용인시 수지구,동천동,381,"1,061,400","931,700"
경기도,파주시,문산읍,448,"1,178,600","1,023,900"
경기도,파주시,파주읍,448,"1,178,600","1,023,900"
경기도,파주시,법원읍,448,"1,178,600","1,023,900"
경기도,파주시,조리읍,438,"1,161,400","1,010,100"
경기도,파주시,월롱면,443,"1,170,000","1,017,000"
경기도,파주시,탄현면,452,"1,185,500","1,029,900"
경기도,파주시,광탄면,428,"1,144,000","996,600"
경기도,파주시,파평면,459,"1,197,400","1,040,400"
경기도,파주시,적성면,448,"1,178,600","1,023,900"
경기도,파주시,금촌1동,437,"1,159,500","1,008,800"
경기도,파주시,금촌3동,438,"1,161,400","1,010,100"
경기도,파주시,교하동,442,"1,168,400","1,015,600"
경기도,파주시,운정1동,438,"1,161,400","1,010,100"
경기도,이천시,장호원읍,315,"933,200","828,800"
경기도,이천시,부발읍,339,"983,400","869,400"
경기도,이천시,신둔면,348,"1,002,100","884,400"
경기도,이천시,백사면,346,"998,000","881,100"
경기도,이천시,호법면,342,"989,600","874,400"
경기도,이천시,마장면,346,"998,000","881,100"
경기도,이천시,대월면,337,"979,200","866,100"
경기도,이천시,모가면,351,"1,007,900","889,000"
경기도,이천시,설성면,326,"956,200","847,400"
경기도,이천시,율면,322,"947,900","840,700"
경기도,이천시,중리동,338,"981,300","867,800"
경기도,이천시,관고동,339,"983,400","869,400"
경기도,이천시,증포동,339,"983,400","869,400"
경기도,안성시,공도읍,343,"991,700","876,100"
경기도,안성시,보개면,354,"1,013,400","893,400"
경기도,안성시,서운면,340,"985,500","871,100"
경기도,안성시,미양면,352,"1,009,800","890,600"
경기도,안성시,대덕면,349,"1,004,200","886,000"
경기도,안성시,양성면,356,"1,017,000","896,300"
경기도,안성시,원곡면,351,"1,007,900","889,000"
경기도,안성시,일죽면,338,"981,300","867,800"
경기도,안성시,죽산면,344,"993,700","877,800"
경기도,안성시,삼죽면,350,"1,006,200","887,700"
경기도,안성시,안성1동,351,"1,007,900","889,000"
경기도,안성시,안성2동,350,"1,006,200","887,700"
경기도,안성시,안성3동,352,"1,009,800","890,600"
경기도,김포시,통진읍,443,"1,170,000","1,017,000"
경기도,김포시,고촌읍,424,"1,137,000","991,100"
경기도,김포시,양촌읍,440,"1,164,800","1,012,800"
경기도,김포시,대곶면,446,"1,175,200","1,020,900"
경기도,김포시,월곶면,447,"1,176,900","1,022,400"
경기도,김포시,하성면,444,"1,171,700","1,018,200"
경기도,김포시,사우동,431,"1,149,100","1,000,600"
경기도,김포시,풍무동,430,"1,147,400","999,100"
경기도,김포시,운양동,434,"1,154,400","1,004,600"
경기도,김포시,김포본동,433,"1,152,500","1,003,300"
경기도,화성시,봉담읍,381,"1,061,400","931,700"
경기도,화성시,우정읍,385,"1,068,500","937,200"
경기도,화성시,향남읍,382,"1,063,200","933,000"
경기도,화성시,남양읍,397,"1,089,700","953,900"
경기도,화성시,비봉면,392,"1,080,900","947,000"
경기도,화성시,마도면,394,"1,084,400","949,700"
경기도,화성시,송산면,394,"1,084,400","949,700"
경기도,화성시,서신면,399,"1,093,200","956,700"
경기도,화성시,팔탄면,383,"1,065,000","934,500"
경기도,화성시,장안면,387,"1,072,100","940,000"
경기도,화성시,양감면,371,"1,043,700","917,500"
경기도,화성시,정남면,378,"1,056,200","927,500"
경기도,화성시,진안동,371,"1,043,700","917,500"
경기도,화성시,병점1동,370,"1,041,800","916,000"
경기도,화성시,반월동,372,"1,045,500","919,000"
경기도,화성시,화산동,372,"1,045,500","919,000"
경기도,화성시,동탄1동,370,"1,041,800","916,000"
경기도,화성시,동탄5동,371,"1,043,700","917,500"
경기도,화성시,동탄7동,364,"1,031,300","907,600"
경기도,화성시,동탄6동,363,"1,029,300","906,100"
경기도,화성시,동탄8동,363,"1,029,300","906,100"
경기도,광주시,오포읍,368,"1,038,300","913,400"
경기도,광주시,초월읍,360,"1,024,100","901,800"
경기도,광주시,곤지암읍,357,"1,018,700","897,700"
경기도,광주시,도척면,361,"1,025,800","903,500"
경기도,광주시,퇴촌면,373,"1,047,300","920,400"
경기도,광주시,남종면,377,"1,054,300","926,100"
경기도,광주시,송정동,371,"1,043,700","917,500"
경기도,광주시,광남동,366,"1,034,800","910,400"
경기도,양주시,백석읍,419,"1,128,200","984,300"
경기도,양주시,은현면,432,"1,150,800","1,001,900"
경기도,양주시,남면,438,"1,161,400","1,010,100"
경기도,양주시,광적면,422,"1,133,400","988,400"
경기도,양주시,양주1동,412,"1,116,000","974,600"
경기도,양주시,양주2동,420,"1,129,900","985,600"
경기도,양주시,회천1동,427,"1,142,200","995,000"
경기도,양주시,회천2동,423,"1,135,300","989,700"
경기도,양주시,회천4동,424,"1,137,000","991,100"
경기도,포천시,소흘읍,422,"1,133,400","988,400"
경기도,포천시,군내면,431,"1,149,100","1,000,600"
경기도,포천시,내촌면,414,"1,119,500","977,300"
경기도,포천시,가산면,428,"1,144,000","996,600"
경기도,포천시,신북면,435,"1,156,100","1,006,000"
경기도,포천시,영중면,444,"1,171,700","1,018,200"
경기도,포천시,일동면,447,"1,176,900","1,022,400"
경기도,포천시,이동면,456,"1,192,400","1,035,900"
경기도,포천시,영북면,454,"1,189,000","1,032,900"
경기도,포천시,관인면,464,"1,206,200","1,047,900"
