시·도,시·군·구,읍·면·동,구간거리 (km),40FT 컨테이너,20FT 컨테이너
서울특별시,종로구,종로56가동,52,"362,800","322,100"
서울특별시,중구,장충동,50,"355,400","308,900"
서울특별시,중구,황학동,55,"373,200","330,900"
서울특별시,중구,신당동,53,"366,300","325,000"
서울특별시,용산구,용산2가동,47,"342,900","298,100"
서울특별시,용산구,한남동,50,"355,400","308,900"
서울특별시,성동구,왕십리2동,55,"373,200","330,900"
서울특별시,성동구,성수2가1동,56,"376,500","333,900"
서울특별시,성동구,송정동,58,"383,100","339,600"
서울특별시,광진구,중곡1동,58,"383,100","339,600"
서울특별시,동대문구,장안1동,60,"389,800","345,500"
서울특별시,중랑구,면목2동,62,"396,500","351,400"
서울특별시,성북구,안암동,57,"379,800","336,800"
서울특별시,성북구,정릉1동,55,"373,200","330,900"
서울특별시,성북구,장위1동,58,"383,100","339,600"
서울특별시,성북구,성북동,55,"373,200","330,900"
서울특별시,도봉구,창1동,64,"402,900","357,100"
서울특별시,노원구,월계1동,64,"402,900","357,100"
서울특별시,노원구,상계1동,68,"416,100","368,600"
서울특별시,서대문구,연희동,44,"330,400","287,200"
서울특별시,강서구,염창동,38,"305,200","266,200"
서울특별시,강서구,공항동,35,"292,400","256,900"
서울특별시,강서구,방화2동,36,"296,600","260,100"
서울특별시,강서구,화곡1동,34,"288,100","253,800"
서울특별시,구로구,구로1동,35,"292,400","256,900"
서울특별시,구로구,고척1동,34,"288,100","253,800"
서울특별시,구로구,수궁동,31,"275,100","244,100"
서울특별시,구로구,개봉1동,32,"279,400","247,400"
서울특별시,구로구,오류2동,30,"270,800","241,200"
서울특별시,금천구,가산동,35,"292,400","256,900"
서울특별시,금천구,독산1동,35,"292,400","256,900"
서울특별시,영등포구,신길5동,38,"305,200","266,200"
서울특별시,영등포구,문래동,38,"305,200","266,200"
서울특별시,관악구,신림동,38,"305,200","266,200"
서울특별시,강남구,삼성1동,54,"369,800","327,900"
서울특별시,강남구,개포1동,50,"355,400","308,900"
서울특별시,송파구,송파1동,57,"379,800","336,800"
서울특별시,송파구,가락본동,57,"379,800","336,800"
서울특별시,송파구,문정1동,57,"379,800","336,800"
서울특별시,강동구,상일동,65,"406,400","359,900"
서울특별시,강동구,천호1동,62,"396,500","351,400"
서울특별시,강동구,암사1동,63,"399,800","354,100"
부산광역시,동구,초량1동,421,"1,335,400","1,165,300"
부산광역시,동구,좌천동,419,"1,331,200","1,162,100"
부산광역시,강서구,대저2동,410,"1,312,400","1,147,300"
부산광역시,강서구,강동동,410,"1,312,400","1,147,300"
부산광역시,강서구,가락동,409,"1,310,300","1,145,500"
부산광역시,강서구,녹산동,414,"1,320,800","1,153,800"
부산광역시,강서구,가덕도동,418,"1,329,200","1,160,500"
부산광역시,강서구,명지1동,422,"1,337,500","1,167,100"
부산광역시,사상구,주례1동,418,"1,329,200","1,160,500"
부산광역시,사상구,학장동,415,"1,323,000","1,155,500"
부산광역시,사상구,엄궁동,416,"1,325,000","1,157,000"
부산광역시,사상구,감전동,414,"1,320,800","1,153,800"
대구광역시,북구,침산1동,309,"1,084,600","965,500"
대구광역시,달서구,장기동,306,"1,077,200","959,300"
대구광역시,달서구,이곡1동,305,"1,074,600","957,300"
대구광역시,달서구,신당동,306,"1,077,200","959,300"
대구광역시,달서구,월성1동,311,"1,089,500","969,400"
대구광역시,달성군,논공읍,316,"1,101,600","979,300"
대구광역시,달성군,다사읍,306,"1,077,200","959,300"
대구광역시,달성군,유가읍,324,"1,121,300","995,200"
대구광역시,달성군,현풍읍,323,"1,118,900","993,200"
대구광역시,달성군,하빈면,297,"1,052,000","938,500"
대구광역시,달성군,구지면,322,"1,116,500","991,200"
인천광역시,중구,신포동,10,"181,600","157,700"
인천광역시,중구,신흥동,9,"177,000","153,500"
인천광역시,중구,동인천동,10,"181,600","157,700"
인천광역시,중구,북성동,11,"186,300","161,500"
인천광역시,중구,운서동,29,"266,500","237,900"
인천광역시,중구,영종동,30,"270,800","241,200"
인천광역시,동구,만석동,12,"191,000","165,600"
인천광역시,동구,화수1화평동,11,"186,300","161,500"
인천광역시,연수구,동춘1동,10,"181,600","157,700"
인천광역시,연수구,송도1동,10,"181,600","157,700"
인천광역시,남동구,만수1동,18,"218,000","191,700"
인천광역시,남동구,남촌도림동,15,"204,500","177,500"
인천광역시,남동구,논현1동,16,"209,000","182,300"
인천광역시,남동구,논현고잔동,16,"209,000","182,300"
인천광역시,남동구,장수서창동,19,"222,400","196,600"
인천광역시,부평구,부평1동,19,"222,400","196,600"
인천광역시,부평구,산곡2동,19,"222,400","196,600"
인천광역시,계양구,효성1동,23,"240,200","215,600"
인천광역시,계양구,작전서운동,23,"240,200","215,600"
인천광역시,계양구,계양2동,26,"254,400","228,300"
인천광역시,계양구,계양1동,30,"270,800","241,200"
인천광역시,계양구,계양3동,28,"262,100","234,800"
인천광역시,서구,검암경서동,23,"240,200","215,600"
인천광역시,서구,연희동,22,"235,800","210,700"
인천광역시,서구,석남1동,17,"213,400","187,000"
인천광역시,서구,가좌1동,15,"204,500","177,500"
인천광역시,서구,신현원창동,16,"209,000","182,300"
인천광역시,서구,청라1동,20,"226,900","201,300"
인천광역시,서구,불로대곡동,30,"270,800","241,200"
인천광역시,서구,오류왕길동,29,"266,500","237,900"
인천광역시,남구,학익1동,10,"181,600","157,700"
인천광역시,남구,도화1동,13,"195,300","169,700"
인천광역시,남구,주안1동,12,"191,000","165,600"
인천광역시,강화군,강화읍,49,"351,200","305,200"
인천광역시,강화군,하점면,57,"379,800","336,800"
광주광역시,남구,대촌동,331,"1,138,600","1,009,000"
광주광역시,북구,일곡동,313,"1,094,300","973,400"
광주광역시,북구,양산동,319,"1,109,100","985,300"
광주광역시,북구,건국동,314,"1,096,900","975,300"
광주광역시,북구,신용동,318,"1,106,700","983,300"
광주광역시,광산구,어룡동,313,"1,094,300","973,400"
광주광역시,광산구,비아동,304,"1,072,100","955,400"
광주광역시,광산구,하남동,309,"1,084,600","965,500"
