시·도,시·군·구,읍·면·동,구간거리 (km),40FT 컨테이너,20FT 컨테이너
서울특별시,종로구,종로56가동,54,"369,800","327,900"
서울특별시,중구,장충동,50,"355,400","308,900"
서울특별시,중구,황학동,55,"373,200","330,900"
서울특별시,중구,신당동,54,"369,800","327,900"
서울특별시,용산구,용산2가동,47,"342,900","298,100"
서울특별시,용산구,한남동,50,"355,400","308,900"
서울특별시,성동구,왕십리2동,54,"369,800","327,900"
서울특별시,성동구,성수2가1동,55,"373,200","330,900"
서울특별시,성동구,송정동,58,"383,100","339,600"
서울특별시,광진구,중곡1동,58,"383,100","339,600"
서울특별시,동대문구,장안1동,60,"389,800","345,500"
서울특별시,중랑구,면목2동,63,"399,800","354,100"
서울특별시,성북구,안암동,59,"386,400","342,600"
서울특별시,성북구,정릉1동,56,"376,500","333,900"
서울특별시,성북구,장위1동,58,"383,100","339,600"
서울특별시,성북구,성북동,57,"379,800","336,800"
서울특별시,도봉구,창1동,67,"412,900","365,800"
서울특별시,노원구,월계1동,64,"402,900","357,100"
서울특별시,노원구,상계1동,72,"429,200","379,900"
서울특별시,서대문구,연희동,47,"342,900","298,100"
서울특별시,강서구,염창동,40,"313,500","272,600"
서울특별시,강서구,공항동,36,"296,600","260,100"
서울특별시,강서구,방화2동,37,"301,000","263,200"
서울특별시,강서구,화곡1동,37,"301,000","263,200"
서울특별시,구로구,구로1동,35,"292,400","256,900"
서울특별시,구로구,고척1동,33,"283,800","250,600"
서울특별시,구로구,수궁동,31,"275,100","244,100"
서울특별시,구로구,개봉1동,32,"279,400","247,400"
서울특별시,구로구,오류2동,30,"270,800","241,200"
서울특별시,금천구,가산동,35,"292,400","256,900"
서울특별시,금천구,독산1동,35,"292,400","256,900"
서울특별시,영등포구,신길5동,38,"305,200","266,200"
서울특별시,영등포구,문래동,38,"305,200","266,200"
서울특별시,관악구,신림동,38,"305,200","266,200"
서울특별시,강남구,삼성1동,52,"362,800","322,100"
서울특별시,강남구,개포1동,50,"355,400","308,900"
서울특별시,송파구,송파1동,55,"373,200","330,900"
서울특별시,송파구,가락본동,55,"373,200","330,900"
서울특별시,송파구,문정1동,55,"373,200","330,900"
서울특별시,강동구,상일동,63,"399,800","354,100"
서울특별시,강동구,천호1동,61,"393,100","348,400"
서울특별시,강동구,암사1동,61,"393,100","348,400"
부산광역시,동구,초량1동,414,"1,320,800","1,153,800"
부산광역시,동구,좌천동,412,"1,316,600","1,150,500"
부산광역시,강서구,대저2동,403,"1,297,600","1,135,700"
부산광역시,강서구,강동동,403,"1,297,600","1,135,700"
부산광역시,강서구,가락동,402,"1,295,500","1,134,000"
부산광역시,강서구,녹산동,407,"1,306,000","1,142,400"
부산광역시,강서구,가덕도동,411,"1,314,500","1,148,700"
부산광역시,강서구,명지1동,415,"1,323,000","1,155,500"
부산광역시,사상구,주례1동,410,"1,312,400","1,147,300"
부산광역시,사상구,학장동,408,"1,308,100","1,143,900"
부산광역시,사상구,엄궁동,409,"1,310,300","1,145,500"
부산광역시,사상구,감전동,407,"1,306,000","1,142,400"
대구광역시,북구,침산1동,302,"1,067,200","951,400"
대구광역시,달서구,장기동,299,"1,057,100","942,800"
대구광역시,달서구,이곡1동,298,"1,054,500","940,700"
대구광역시,달서구,신당동,299,"1,057,100","942,800"
대구광역시,달서구,월성1동,303,"1,069,700","953,300"
대구광역시,달성군,논공읍,311,"1,089,500","969,400"
대구광역시,달성군,다사읍,299,"1,057,100","942,800"
대구광역시,달성군,유가읍,316,"1,101,600","979,300"
대구광역시,달성군,현풍읍,316,"1,101,600","979,300"
대구광역시,달성군,하빈면,290,"1,034,600","924,600"
대구광역시,달성군,구지면,315,"1,099,300","977,300"
인천광역시,중구,신포동,20,"226,900","201,300"
인천광역시,중구,신흥동,19,"222,400","196,600"
인천광역시,중구,동인천동,21,"231,400","206,200"
인천광역시,중구,북성동,21,"231,400","206,200"
인천광역시,중구,운서동,33,"283,800","250,600"
인천광역시,중구,영종동,34,"288,100","253,800"
인천광역시,동구,만석동,22,"235,800","210,700"
인천광역시,동구,화수1화평동,21,"231,400","206,200"
인천광역시,연수구,동춘1동,12,"191,000","165,600"
인천광역시,연수구,송도1동,10,"181,600","157,700"
인천광역시,남동구,만수1동,19,"222,400","196,600"
인천광역시,남동구,남촌도림동,15,"204,500","177,500"
인천광역시,남동구,논현1동,14,"200,000","173,500"
인천광역시,남동구,논현고잔동,14,"200,000","173,500"
인천광역시,남동구,장수서창동,19,"222,400","196,600"
인천광역시,부평구,부평1동,23,"240,200","215,600"
인천광역시,부평구,산곡2동,25,"250,800","225,100"
인천광역시,계양구,효성1동,27,"258,100","231,500"
인천광역시,계양구,작전서운동,27,"258,100","231,500"
인천광역시,계양구,계양2동,31,"275,100","244,100"
인천광역시,계양구,계양1동,33,"283,800","250,600"
인천광역시,계양구,계양3동,32,"279,400","247,400"
인천광역시,서구,검암경서동,32,"279,400","247,400"
