편도거리(KM),40FT 컨테이너,20FT 컨테이너
1,"119,100","103,200"
2,"123,000","106,500"
3,"127,300","110,100"
4,"131,200","113,500"
5,"134,800","116,900"
6,"138,800","120,400"
7,"142,800","123,700"
8,"146,700","127,100"
9,"150,500","130,400"
10,"154,400","134,000"
11,"158,300","137,200"
12,"162,300","140,600"
13,"165,900","144,100"
14,"169,900","147,300"
15,"173,700","150,700"
16,"177,500","154,700"
17,"181,200","158,700"
18,"185,100","162,600"
19,"188,800","166,700"
20,"192,600","170,700"
21,"196,400","174,800"
22,"200,100","178,600"
23,"203,800","182,700"
24,"208,400","186,800"
25,"212,700","190,700"
26,"215,800","193,400"
27,"218,900","196,100"
28,"222,300","198,900"
29,"226,000","201,500"
30,"229,600","204,300"
31,"233,300","206,800"
32,"236,900","209,600"
33,"240,600","212,300"
34,"244,200","215,000"
35,"247,900","217,600"
36,"251,400","220,300"
37,"255,100","223,000"
38,"258,700","225,500"
39,"262,200","228,300"
40,"265,700","230,900"
41,"269,300","233,900"
42,"272,800","237,000"
43,"276,400","240,100"
44,"279,900","243,200"
45,"283,300","246,200"
46,"287,100","249,200"
47,"290,500","252,400"
48,"294,100","255,300"
49,"297,500","258,400"
50,"301,100","261,500"
51,"304,500","270,000"
52,"307,300","272,600"
53,"310,300","275,100"
54,"313,200","277,500"
55,"316,100","280,100"
56,"318,900","282,600"
57,"321,700","285,100"
58,"324,500","287,400"
59,"327,300","290,000"
60,"330,200","292,400"
61,"333,000","294,900"
62,"335,900","297,400"
63,"338,700","299,700"
64,"341,300","302,200"
65,"344,200","304,600"
66,"346,900","307,100"
67,"349,800","309,600"
68,"352,500","312,000"
69,"355,300","314,400"
70,"358,100","316,700"
71,"360,900","319,300"
72,"363,600","321,600"
73,"366,300","323,900"
74,"369,000","326,300"
75,"371,800","328,700"
76,"374,500","331,100"
77,"377,300","333,400"
78,"380,100","335,700"
79,"382,500","338,000"
80,"385,300","340,400"
81,"388,100","342,800"
82,"390,700","345,000"
83,"393,400","347,400"
84,"396,100","349,600"
85,"398,800","352,000"
86,"401,500","354,300"
87,"404,200","356,600"
88,"406,700","358,900"
89,"409,300","361,200"
90,"412,100","363,400"
91,"414,700","365,800"
92,"417,400","368,000"
93,"420,000","370,200"
94,"422,600","372,500"
95,"425,300","374,700"
96,"427,900","377,100"
97,"430,400","379,300"
98,"433,100","381,600"
99,"435,600","383,800"
100,"438,200","386,000"
101,"440,900","388,400"
102,"443,500","390,500"
103,"446,000","392,800"
104,"448,700","395,000"
105,"451,300","397,200"
106,"453,800","399,400"
107,"456,400","401,600"
108,"458,800","403,900"
109,"461,500","406,000"
110,"464,100","408,100"
111,"466,600","410,400"
112,"469,200","412,600"
113,"471,800","414,700"
114,"474,300","416,900"
115,"476,900","419,100"
116,"479,400","421,300"
117,"481,900","423,400"
118,"484,500","425,800"
119,"487,000","427,900"
120,"489,500","430,000"
121,"492,000","432,000"
122,"494,500","434,200"
123,"497,000","436,300"
124,"499,600","438,500"
125,"501,900","440,600"
126,"504,500","442,700"
127,"507,100","444,900"
128,"509,400","446,900"
129,"511,800","449,100"
130,"514,300","451,100"
131,"516,800","453,200"
132,"519,300","455,400"
133,"521,800","457,400"
134,"524,200","459,600"
135,"526,700","461,600"
136,"529,300","463,700"
137,"531,700","465,800"
138,"534,000","467,800"
139,"536,600","469,900"
140,"538,800","472,000"
141,"541,400","474,100"
142,"543,700","476,100"
143,"546,200","478,100"
144,"548,700","480,200"
145,"551,200","482,200"
146,"553,400","484,400"
147,"555,900","486,400"
148,"558,500","488,400"
149,"560,900","490,400"
150,"563,200","492,500"
151,"565,700","494,500"
152,"568,100","496,500"
153,"570,500","498,500"
154,"572,800","500,600"
155,"575,100","502,600"
156,"577,600","504,500"
157,"580,100","506,500"
158,"582,300","508,600"
159,"584,800","510,500"
160,"587,100","512,600"
161,"589,500","514,700"
162,"591,900","516,500"
163,"594,200","518,500"
164,"596,600","520,500"
165,"599,000","522,400"
166,"601,400","524,400"
167,"603,700","526,500"
168,"606,100","528,400"
169,"608,400","530,300"
170,"610,700","532,200"
171,"613,100","534,200"
172,"615,500","536,200"
173,"617,700","538,100"
174,"620,100","540,100"
175,"622,400","542,000"
176,"624,800","544,000"
177,"627,100","545,800"
178,"629,500","547,900"
179,"631,800","549,700"
180,"634,100","551,700"
181,"636,500","553,500"
182,"638,900","555,600"
183,"641,300","557,400"
184,"643,500","559,400"
185,"645,800","561,200"
186,"648,200","563,300"
187,"650,400","565,100"
188,"652,600","567,000"
