No,보세운송업자부호,보세운송업체명,영업소재지
1,010001,(주)케이씨티시,서울특별시 중구 남대문로 63 (소공동) 
2,010002,(주)국보,부산광역시 수영구 광남로 42 (남천동) 국보빌딩 8층
3,010005,씨제이대한통운(주),"서울특별시 종로구 종로5길 7 (청진동, Tower 8) "
4,010006,(주)동방,서울특별시 중구 통일로2길 16 (순화동) 3층
5,010007,동원로엑스㈜,"서울특별시 서초구 마방로 68 (양재동, 동원산업빌딩) "
6,010012,(주)유성티엔에스,"서울특별시 서초구 남부순환로 2583 (서초동, 서희타워) 9층"
7,010014,(주)한진,서울특별시 중구 남대문로 63 (소공동) 
8,010017,(주)에이엔씨익스프레스,경기도 연천군 연천로 177 (연천읍) 
9,010024,롯데글로벌로지스(주),"서울특별시 중구 통일로 10 (남대문로5가, 연세세브란스빌딩) 10-12층"
10,010026,조양국제종합물류(주),"서울특별시 강서구 강서로 406 (등촌동, 동광빌딩) 3층"
11,010027,중앙기업운수(주),서울시 중구 만리동 1가 53-8 
12,010028,(주)신양로지스틱스,서울시 서초구 서초동 1354-5(경목빌딩) 
13,010029,성진운수 주식회사,경기도 연천군 전곡읍 은대리 766-11 
14,010036,용마유통(주),서울 동대문구 용두동 103-43 동우빌딩301 
15,010043,조흥통운(주),"서울특별시 종로구 청계천로 61 (관철동, 관철동 빌딩) "
16,010106,신한종합물류(주),"서울특별시 금천구 가마산로 96 (가산동, 대륭테크노타운8차) 1203호"
17,010114,삼익물류(주),서울특별시 중구 퇴계로 97 (충무로1가) 고려대연각센터빌딩 9층 901호
18,010116,(주)발렉스특수물류,"서울특별시 영등포구 의사당대로 83,12층(여의도동,HP빌딩) "
19,010145,진성종합상운(주),"서울특별시 마포구 독막로 291 (염리동, 한청실업빌딩) 4층"
20,010188,신흥로지스틱스(주),"서울특별시 송파구 송파대로 55 (장지동, 서울복합물류) 비동 4층 20-25번게이트"
21,010190,(주)일양로지스,"서울특별시 마포구 마포대로 25 (마포동, 대농빌딩) 9층"
22,010191,(주)케이이엘,"인천광역시 중구 인중로 176 (사동, 나성빌딩) 2층 1호"
23,010194,엠앤엠통운(주),"인천광역시 중구 축항대로 220 ,3층 301호(항동7가)"
24,010242,(주)대우로지스틱스,"서울특별시 중구 세종대로 39 , 12층"
25,010325,한솔로지스틱스(주),"서울특별시 중구 을지로 100 (을지로2가, 파인에비뉴) 비동 22층"
26,010364,(주)에스아이물류,"인천광역시 연수구 용담로125번길 41 (연수동, 메카리움오피스텔) 2층"
27,010453,만우물류(주),"경기도 파주시 금바위로 42 (와동동, 운정법조타운) 1010호"
28,010498,에스케이해운(주),"서울 중구 퇴계료 24, 19층  남대문  로5가, 에스케이남산그린빌딩 "
29,010579,(주)디알익스프레스,"서울특별시 종로구 새문안로3길 30 (내수동, 대우빌딩) 703호"
30,010651,(주)엠솔루션콥,"서울 구로구 디지털로33길 48, 1102  호,1103호 구로동, 대륭포스트타워 7 차 "
31,010662,(주)토펙스,인천광역시 중구 공항동로295번길 77-11 (운서동) 화물터미널운송대리점 씨동 420호
32,010668,에이치디에스엘피(주),"경기도 용인시 기흥구 금화로 3, 202 호  상갈동, 주공프라자 "
33,010730,태성종합물류(주),"인천광역시 연수구 인천타워대로 323 (송도동, 송도 센트로드) 에이동 1916호"
34,010861,동원산업(주),"서울특별시 서초구 마방로 68 (양재동, 동원산업빌딩) 1층"
35,010938,(주)아이엔지써비스,경기도 고양시 덕양구 삼원로 51 (원흥동) 808호
36,010B86,내트럭(주),"서울특별시 중구 삼일대로 363 (장교동, 장교빌딩) 13층 6호"
37,010D81,(유)브링스글로벌,"서울특별시 영등포구 국회대로62길 21 (여의도동) 11층 (여의도동, 동성빌딩)"
38,010F63,로지스팟(주),"서울특별시 강남구 테헤란로33길 3-6 (역삼동) , 5～10층"
39,011129,(주)로고 농업회사법인,경기도 포천시 포천로 916 (가산면) 
40,012005,(주)극동물류,"인천광역시 중구 공항동로193번길 90 (운서동, 인천항공화물터미널A) 에이동 215호"
41,012052,(주)다코넷,경기도 이천시 마장면 덕평로 787 1층
42,012102,(주)경신종합물류,경기도 여주시 도예로 383-15 (북내면) 
43,012149,(주)케이지엘,"경기도 성남시 중원구 도촌로 25-4,  지층  도촌동 "
44,012455,(주)천일국제물류,"경기도 성남시 분당구 야탑로 103 (야탑동, 노블리치2 오피스텔) 304호"
