NAME,PAID,TYPE,BASE,20',40',40HQ
"BUNKER ADJUSTMENT FACTOR
(CBF)",Prepaid,CNTR,DRY,USD 0.00,USD 0.00,USD 0.00
"CFS CHARGE
(CCF)",Prepaid,CNTR,DRY,waive,waive,waive
"CFS SURCHARGE
(CSF)",Prepaid,CNTR,DRY,waive,waive,waive
"CONTAINER IMBALANCE SURCHARGE
(CIS)",Prepaid,CNTR,DRY,waive,waive,waive
"DOCUMENTATION FEE 
(CDF/BL)",Prepaid,BL,DRY,waive,waive,waive
"EMERGENCY BUNKER SURCHARGE
(EBS/BL)",Prepaid,BL,DRY,waive,waive,waive
"LOADING DOCUMENTATION FEE
(LDF/BL)",Prepaid,BL,DRY,CNY 425.00,CNY 425.00,CNY 425.00
"LOADING PORT TERMINAL HANDLING CHARGE
(LTH)",Prepaid,CNTR,DRY,CNY 656.00,CNY 998.00,CNY 998.00
"LOW SULPHUR FUEL SURCHARGE
(LSS)",Prepaid,CNTR,DRY,USD 90.00,USD 180.00,USD 180.00
"OTHER DOCUMENT FEE
(ODF/BL)",Prepaid,BL,DRY,waive,waive,waive
"QINGDAO TERMINAL SURCHARGE
(QTS)",Prepaid,CNTR,DRY,CNY 0.00,CNY 0.00,CNY 0.00
"SURRENDER FEE
(SUF/BL)",Prepaid,BL,DRY,CNY 150.00,CNY 150.00,CNY 150.00
"BUNKER ADJUSTMENT FACTOR
(NBF)",Collect,CNTR,DRY,USD 190.00,USD 380.00,USD 380.00
"CLEANING/WATCHING OF CONTAINERS
(CLC)",Collect,CNTR,DRY,"KRW 35,000.00","KRW 50,000.00","KRW 50,000.00"
"CONTAINER IMBALANCE CHG
(CIC)",Collect,CNTR,DRY,USD 40.00,USD 80.00,USD 80.00
"COST RECOVERY SURCHARGE
(CRS)",Collect,CNTR,DRY,waive,waive,waive
"CURRENCY ADJUSTMENT FACTOR
(CAF)",Collect,CNTR,DRY,USD 30.00,USD 60.00,USD 60.00
"DOCUMENTATION FEE
(DOF/BL)",Collect,BL,DRY,"KRW 40,000.00","KRW 40,000.00","KRW 40,000.00"
"PORT SAFETY MANAGEMENT FEE
(PSF)",Collect,CNTR,DRY,KRW 243.00,KRW 486.00,KRW 486.00
"TERMINAL HANDLING CHARGE
(THC)",Collect,CNTR,DRY,"KRW 150,000.00","KRW 210,000.00","KRW 210,000.00"
"TERMINAL SECURITY FEE
(TSF)",Collect,CNTR,DRY,KRW 86.00,KRW 172.00,KRW 172.00
"WHARFAGE
(WHG)",Collect,CNTR,DRY,"KRW 4,200.00","KRW 8,400.00","KRW 8,400.00"
